Nama Akun,Ulasan
Jilsy,udah lama nyari lipcream yang warna dan formulanya cocok akhirnya make over nih yang cocok di aku
puspita,"lipstiknya bagus,tetapi pengiriman lamaa bgt,seminggu br sampai"
savira,"warnanya cantik, kerasa lbh tebal dr vynil ink tapi lebih ringan dripada wardah glazed. hasil akhirnya gak terlalu glossy tpi awet seharian dan gak transfer"
Lisa,bagus
Lisa,bagus
Djatimas,"Warnanya cantiiiiikkkk!!!!! Pesanan sesuai dan pengiriman cepat! mantap!!! Kemasannya gak kaleng² sih, keren!"
Erlitta,baguussss.....
Elka,"yg suka pink bs ambil ini, warnanya lbh muda dibanding 03.. pink natural"
funtea,"Berharap mengganti produk favorit yg diboikot, turn up kualitas beda. Iyasih emang beda brand. Semoga bisa improve yaa. Not my favorite, menggumpal dan heavy. But not that bad actually, the color is good."
Alfira,demi bagus bangettt.. ga nyesel serius beli ini. dapat harga diskon jadi 80ribuan 😭💕
Alfira,demi bagus bangettt.. ga nyesel serius beli ini. dapat harga diskon jadi 80ribuan 😭💕
A***a,demi bagus bangettt.. ga nyesel serius beli ini. dapat harga diskon jadi 80ribuan 😭💕
L***i,mantullllllll
m***i,"ringan , bagus di ombreeeew, ga bikin bibir kering, dapat cashback lumayan, make over the beesssst"
Risa,Sangat sesuai dengan permintaan.. semoga cocok di akunya.. makasi banyak min 😍🥰
N***a,"Warna oke, tahan lama."
Ria,Polesan 1 kali utk bibir gelap warna kulit tan. Mayan lah
Z***e,cepet sampenya dan untuk warna meskipun pink tapi ada hint coklatnya jdi buat kulit sawo matang masih cocok dan keliatan manis. ditambah tahan lama meskipun habis makan paling agak bolong di bagian dalemnya
J***s,"Barang diterima dengan baik, tapi belum dicoba, semoga sesuai dengan kualitas. terima kasih seller."
S***h,S***h
O***a,"Kualitas baguuus, beneran ngeset after pemakaian 5 menit ngga geser, poto kedua shade dna yang sebelah kiri."
Octavia,Matte dan semoga cocok dengan kulit bibir.
winda,"Gak bikin bibir kering tentunya, bkin bibir jd glossy& aweet. Warnanya cocok buat kulit sawo matang&bibirku yg gelap 👍🏼"
H***a,Aku gak make tapi udah pernah swatch warnanya bagus! Semoga kaka iparku sukaa💗💗💗
Eka,"Warnanya bagus sekali untuk kulit sawo matang. Formulanya luar biasa awetnya. Dipakai makan, masih stay dong 😂 gokil"
r***a,"aku suka teksturnya, pas dipake super ringan ga berasa berat & menggumpal kaya brand Maybel*ne, sama sekali gak transfer ke gelas jugaa kalo minum... agak pricey tp sangat2 worth the price. Btw ini warna hallway kaya burgundy gitu 🫶🏻"
N***i,"ringan, cover bibir gelap. bagus bagett deh pokoknya mah😍"
dewi,"warna cantik, sesuai expectasi, formulanya ringan di bibir, gl nge crack, sebagus itu, bakalan beli shade lainnya 🫰🫰🫰"
n***a,"bagus sih warnanya, sampe beberapa menit masih transfer rada glossy pertamanya lebih mirip dari mybline tapi ini lebih ringan"
L***y,awalnya coklat lama lama ngepink .. texturenya emang ringan dan lembab
Bambi,"cantik banget warnanya, sesuai ekspektasi.. mudah2an cocok dan nyaman dipakai lama.. thx seller"
Arintya,"pigmented, coverage nya bagus, dibiarkan beberapa lama dia nggak meninggalkan bekas. Paket rapi, masih tersegel. terima kasih seller & kurir."
a***u,warnanya perfect
N***a,"mantap bangett, warnanya pink mauve agak deep gitu. suka deh"
L***y,"lipstiknya awet di bibir,lembab jg,warna2 nya trend banget deh,selalu puas belanja di make over nih,❤️,packing nya rapi,exp msh lama jg,ramah admnya.makasih."
nurhalizah,warna nya pink sedikit gelap di kulit aku. tapi bagus kok
S***a,bagus BANGET HUAAAA. INI SHADES KELIMA YG AKU PUNYA. MAKEOVER GAMAU KIRIMIN AKU POWERSTAY GLAZED SATU TRUCKKKK APPPPAAAA? anw mampir **** ****** aku yaaa ***************** buat liat review lainnya!
Hafidlotul,oke banget sii
M***l,M***l
Maureen,Bagus👍
Nunik,"Bagus banget. Ga nyesel deh beli nya. Warna lebih cerah dari pada yg di foto. Awet ga luntur, asal pemakaiannya sesuai petunjuk ya. Karena awet ga luntur, harus make remover utk membersihkan nya. Bibir sy termasuk yg kering.dan pecah², ga bagus kalau make lipstik, makanya jarang make lipstik lama². tapi make ini ga kering, bener kata deskripsinya uncrackable. Mantap deh. Baru make sekali, sy langsung pesan lagi utk warna lain...🤩"
Nunik,"Bagus banget. Ga nyesel deh beli nya. Warna lebih cerah dari pada yg di foto. Awet ga luntur, asal pemakaiannya sesuai petunjuk ya. Karena awet ga luntur, harus make remover utk membersihkan nya. Bibir sy termasuk yg kering.dan pecah², ga bagus kalau make lipstik, makanya jarang make lipstik lama². tapi make ini ga kering, bener kata deskripsinya uncrackable. Pengen beli varian yg lain...😍"
sarashanifati,Warnanya cantik banget parah
Dewi,Dewi
R***a,"bagus warnanya, tapi pengiriman lama sekali"
a***t,cocok sebagai base ombre
A***i,"ini titipan temenku. pengiriman cepet, affordable harganya & cakep shadenya!!"
vivit,"pengiriman cepat, packing apik dan aman"
siti,"bagus, dipake makan yg berminyak2 juga masih awet"
Carissa,Cantik bgt warnanyaaa 😍
L***s,Baguss bangettt!!!
L***a,"awalnya beli vixen dan terlalu ngejreng dikulit sawo busukku, trs beli lg yg pompous ini trs gue ombre dan hasilnya sesuai harapan. bagussss bgt wooooy ga kering dibibir jd keliatan sehat. dipake pompousnya doang pun cakep nudenya bukan yg oren kaya stabilo jdnya dikulitku."
t***i,"alhamdulillah warna ini cocok di skintone warna kulit aku untuk dipake sehari-hari... packing nya mevvah banget.. ketahanan gak usah diragukan lagi.. untuk seharga ini, bagiku lumayan berat harga nya tapi sebanding dengan kualitas nya.."
Berly,semuanya oke
N***n,Warna shade nya bagus. Belum dicoba mudah2an cocok di bibir dan bener2 transferproof sesuai klaim nya yaa. Pengirimannya lumayan lama menurutku. But overall is good. Cuma beli 1 tp packagingnya keren sih aman. Thanks seller 🙏🏻
V***a,V***a
kenzi,Baru kali ini beli lipstik online langsung syuka parah warna nya hikssss mo nangis
Nur,ga waterproof ga kisproof
Ayu,Favvvvv
A***e,"dateng lgsg dicoba buat makan mie rebus, alhamdulillah masih aman.. cakep warnaaanya sukaaa 🥰"
Yuni,"Packaging rapi, harga ramH di kantong, udah nyoba dan beneran transferproof, jadi gak usah bolak balik lipstikan lagi"
Leila,pigmented prah keren suka banget!
